Training Statistics for AE_allbus
==================================================

Episode   52: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   52: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   53: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   53: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   53: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   53: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   54: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   54: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   54: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   54: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   55: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   55: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   55: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   55: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   56: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   56: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   56: Loss=  0.0001, Violations=   0, Proj=   0, Fallback=   0
Episode   56: Loss=  0.0002, Violations=   0, Proj=   0, Fallback=   0
Episode   57: Loss=  0.0004, Violations=   0, Proj=   0, Fallback=   0
Episode   57: Loss=  0.0007, Violations=   0, Proj=   0, Fallback=   0
Episode   57: Loss=  0.0011, Violations=   0, Proj=   0, Fallback=   0
Episode   57: Loss=  0.0015, Violations=   0, Proj=   0, Fallback=   0
Episode   58: Loss=  0.0019, Violations=   0, Proj=   0, Fallback=   0
Episode   58: Loss=  0.0023, Violations=   0, Proj=   0, Fallback=   0
Episode   58: Loss=  0.0026, Violations=   0, Proj=   0, Fallback=   0
Episode   58: Loss=  0.0030, Violations=   0, Proj=   0, Fallback=   0
Episode   59: Loss=  0.0033, Violations=   0, Proj=   0, Fallback=   0
Episode   59: Loss=  0.0034, Violations=   0, Proj=   0, Fallback=   0
Episode   59: Loss=  0.0036, Violations=   0, Proj=   0, Fallback=   0
Episode   59: Loss=  0.0036, Violations=   0, Proj=   0, Fallback=   0
Episode   60: Loss=  0.0036, Violations=   0, Proj=   0, Fallback=   0
Episode   60: Loss=  0.0036, Violations=   0, Proj=   0, Fallback=   0
Episode   60: Loss=  0.0034, Violations=   0, Proj=   0, Fallback=   0
Episode   60: Loss=  0.0033, Violations=   0, Proj=   0, Fallback=   0
Episode   61: Loss=  0.0030, Violations=   0, Proj=   0, Fallback=   0
Episode   61: Loss=  0.0026, Violations=   0, Proj=   0, Fallback=   0
Episode   61: Loss=  0.0023, Violations=   0, Proj=   0, Fallback=   0
Episode   61: Loss=  0.0019, Violations=   0, Proj=   0, Fallback=   0
Episode   62: Loss=  0.0014, Violations=   0, Proj=   0, Fallback=   0
Episode   62: Loss=  0.0011, Violations=   0, Proj=   0, Fallback=   0
Episode   62: Loss=  0.0007, Violations=   0, Proj=   0, Fallback=   0
Episode   62: Loss=  0.0004, Violations=   0, Proj=   0, Fallback=   0
Episode   63: Loss=  0.0002, Violations=   0, Proj=   0, Fallback=   0
Episode   63: Loss=  0.0001, Violations=   0, Proj=   0, Fallback=   0
Episode   63: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   63: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   64: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   64: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   64: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   64: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   65: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   65: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   65: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   65: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   66: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   66: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   66: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   66: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   67: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   67: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   67: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   67: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   68: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   68: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   68: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   68: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   69: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   69: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   69: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   69: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   70: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   70: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   70: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   70: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   71: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   71: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   71: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   71: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   72: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   72: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   72: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   72: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   73: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   73: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   73: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   73: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   74: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   74: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   74: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   74: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   75: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   75: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   75: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   75: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   76: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   76: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   76: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   76: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
